"ID" "Mark level" "Age class" "Gender" "TOT" "Data" "Observed"
"UNIRM_001" "WM" "A+I" "F" 10 2017-08-20 1
"UNIRM_002" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_003" "WM" "A" "M" 11 2017-08-20 0
"UNIRM_004" "WM" "A+I" "F" 1 2017-08-20 0
"UNIRM_005" "LM" "I" "U" 1 2017-08-20 0
"UNIRM_006" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_007" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_008" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_009" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_010" "LM" "A" "U" 2 2017-08-20 0
"UNIRM_011=067" "WM" "A" "F" 8 2017-08-20 0
"UNIRM_012" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_013" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_014" "WM" "A" "U" 6 2017-08-20 0
"UNIRM_015" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_016" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_017" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_018" "WM" "A" "U" 2 2017-08-20 0
"UNIRM_019" "WM" "A" "U" 5 2017-08-20 0
"UNIRM_020" "WM" "A" "U" 20 2017-08-20 0
"UNIRM_021" "WM" "A" "U" 12 2017-08-20 0
"UNIRM_022" "WM" "A" "F" 17 2017-08-20 0
"UNIRM_023" "WM" "A" "F" 14 2017-08-20 0
"UNIRM_024" "WM" "A" "F" 4 2017-08-20 0
"UNIRM_025" "WM" "A" "U" 30 2017-08-20 0
"UNIRM_026" "WM" "A" "F" 24 2017-08-20 0
"UNIRM_027" "PM" "A" "U" 9 2017-08-20 0
"UNIRM_028" "WM" "A" "U" 16 2017-08-20 0
"UNIRM_029" "WM" "A" "F" 17 2017-08-20 0
"UNIRM_030" "WM" "A" "F" 10 2017-08-20 0
"UNIRM_031" "WM" "A" "F" 19 2017-08-20 0
"UNIRM_032" "WM" "A" "U" 2 2017-08-20 0
"UNIRM_033" "WM" "A" "U" 3 2017-08-20 0
"UNIRM_034" "WM" "A" "F" 17 2017-08-20 0
"UNIRM_035" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_036" "PM" "A" "F" 3 2017-08-20 0
"UNIRM_037" "WM" "A" "U" 11 2017-08-20 0
"UNIRM_038" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_039" "WM" "A" "F" 3 2017-08-20 0
"UNIRM_040" "WM" "A" "U" 19 2017-08-20 0
"UNIRM_041" "WM" "A" "U" 20 2017-08-20 0
"UNIRM_042" "WM" "A" "U" 2 2017-08-20 0
"UNIRM_043" "WM" "A" "F" 19 2017-08-20 0
"UNIRM_044" "WM" "A" "F" 21 2017-08-20 0
"UNIRM_045" "WM" "A" "F" 27 2017-08-20 0
"UNIRM_046" "WM" "A" "U" 9 2017-08-20 0
"UNIRM_047" "WM" "A" "F" 1 2017-08-20 0
"UNIRM_048" "LM" "A" "F" 10 2017-08-20 0
"UNIRM_049=222" "WM" "A" "F" 15 2017-08-20 0
"UNIRM_050" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_051" "WM" "A" "U" 2 2017-08-20 0
"UNIRM_052" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_053" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_054" "LM" "A" "U" 8 2017-08-20 0
"UNIRM_055" "WM" "A" "U" 17 2017-08-20 0
"UNIRM_056" "WM" "A" "U" 6 2017-08-20 0
"UNIRM_057" "WM" "A" "U" 17 2017-08-20 0
"UNIRM_058=236" "LM" "A" "U" 12 2017-08-20 0
"UNIRM_059" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_060" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_061" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_062" "WM" "A" "U" 9 2017-08-20 0
"UNIRM_063" "WM" "A" "U" 21 2017-08-20 0
"UNIRM_064" "WM" "A" "U" 18 2017-08-20 0
"UNIRM_065" "WM" "A" "U" 4 2017-08-20 0
"UNIRM_066" "WM" "A" "U" 10 2017-08-20 0
"UNIRM_068=071" "LM" "A" "U" 6 2017-08-20 0
"UNIRM_069" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_070" "PM" "A" "U" 12 2017-08-20 0
"UNIRM_072" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_073" "WM" "A" "U" 3 2017-08-20 0
"UNIRM_080" "WM" "A" "U" 2 2017-08-20 0
"UNIRM_081" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_082" "WM" "A" "U" 14 2017-08-20 0
"UNIRM_083" "WM" "A" "U" 7 2017-08-20 0
"UNIRM_084" "WM" "A" "F" 1 2017-08-20 0
"UNIRM_085" "WM" "A" "F" 1 2017-08-20 0
"UNIRM_086" "PM" "A" "U" 21 2017-08-20 0
"UNIRM_087" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_088" "WM" "A" "F" 1 2017-08-20 0
"UNIRM_089" "WM" "A" "F" 1 2017-08-20 0
"UNIRM_090" "PM" "A" "U" 2 2017-08-20 0
"UNIRM_091" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_092=175" "PM" "A" "F" 18 2017-08-20 0
"UNIRM_093" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_094" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_095" "WM" "A" "F" 2 2017-08-20 0
"UNIRM_096" "WM" "A" "F" 2 2017-08-20 0
"UNIRM_097" "WM" "A" "F" 1 2017-08-20 0
"UNIRM_098" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_099" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_100" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_101" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_102" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_103" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_104" "WM" "A" "F" 1 2017-08-20 0
"UNIRM_105" "LM" "A" "U" 3 2017-08-20 0
"UNIRM_106=232" "WM" "A" "U" 16 2017-08-20 0
"UNIRM_107" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_108" "LM" "A" "F" 2 2017-08-20 0
"UNIRM_109" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_110" "PM" "A" "F" 2 2017-08-20 0
"UNIRM_111" "WM" "A" "U" 9 2017-08-20 0
"UNIRM_112" "WM" "A" "F" 8 2017-08-20 0
"UNIRM_113" "WM" "A" "U" 4 2017-08-20 0
"UNIRM_114" "WM" "A" "F" 5 2017-08-20 0
"UNIRM_115" "PM" "A" "U" 3 2017-08-20 0
"UNIRM_116" "WM" "A" "U" 3 2017-08-20 0
"UNIRM_117" "WM" "A" "U" 3 2017-08-20 0
"UNIRM_118" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_119" "WM" "A" "U" 8 2017-08-20 0
"UNIRM_120" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_121" "LM" "A" "U" 11 2017-08-20 0
"UNIRM_122" "WM" "A" "U" 5 2017-08-20 0
"UNIRM_123" "WM" "A" "U" 4 2017-08-20 0
"UNIRM_124" "LM" "A" "U" 2 2017-08-20 0
"UNIRM_125" "WM" "A" "U" 2 2017-08-20 0
"UNIRM_126" "LM" "I" "U" 21 2017-08-20 0
"UNIRM_127" "WM" "A" "U" 4 2017-08-20 0
"UNIRM_128" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_129" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_130" "PM" "A" "F" 3 2017-08-20 0
"UNIRM_131" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_132" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_133" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_134" "LM" "A" "U" 3 2017-08-20 0
"UNIRM_135" "WM" "A" "U" 2 2017-08-20 0
"UNIRM_136" "WM" "A" "U" 2 2017-08-20 0
"UNIRM_137" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_138" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_139" "WM" "A" "F" 5 2017-08-20 0
"UNIRM_140" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_141" "WM" "A" "U" 4 2017-08-20 0
"UNIRM_142" "WM" "A" "F" 18 2017-08-20 0
"UNIRM_143" "WM" "A" "U" 3 2017-08-20 0
"UNIRM_144=231" "PM" "A" "U" 17 2017-08-20 0
"UNIRM_145" "PM" "A" "F" 14 2017-08-20 0
"UNIRM_146" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_147" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_148" "LM" "A" "U" 2 2017-08-20 0
"UNIRM_149" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_150" "WM" "A" "F" 12 2017-08-20 0
"UNIRM_151" "PM" "I" "U" 1 2017-08-20 0
"UNIRM_152" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_153" "WM" "A" "U" 13 2017-08-20 0
"UNIRM_154" "WM" "A" "U" 10 2017-08-20 0
"UNIRM_155" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_156" "WM" "A" "U" 4 2017-08-20 0
"UNIRM_157" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_158" "PM" "A" "U" 1 2017-08-20 0
"UNIRM_159" "WM" "A" "U" 8 2017-08-20 0
"UNIRM_160" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_161" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_162" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_163" "WM" "A" "F" 3 2017-08-20 0
"UNIRM_164" "WM" "A" "U" 3 2017-08-20 0
"UNIRM_165" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_166" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_167" "LM" "A" "U" 3 2017-08-20 0
"UNIRM_168" "WM" "A" "U" 2 2017-08-20 0
"UNIRM_169" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_170" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_171" "WM" "A" "F" 1 2017-08-20 0
"UNIRM_172" "WM" "A" "F" 2 2017-08-20 0
"UNIRM_173" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_174" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_176" "WM" "A" "U" 14 2017-08-20 0
"UNIRM_177" "WM" "A" "U" 4 2017-08-20 0
"UNIRM_178" "LM" "I" "U" 7 2017-08-20 0
"UNIRM_179" "LM" "A" "U" 3 2017-08-20 0
"UNIRM_180" "LM" "A" "U" 8 2017-08-20 0
"UNIRM_181" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_182" "LM" "A" "U" 2 2017-08-20 0
"UNIRM_183" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_184" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_185" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_186" "WM" "A" "F" 3 2017-08-20 0
"UNIRM_187" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_188" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_189" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_190" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_191" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_192" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_193" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_194" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_195" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_196" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_197" "LM" "A" "F" 3 2017-08-20 0
